Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
6953,19748,1,0,7.0,0,1,7,2,1,2,2,3,4,4,5,5,5,5,3,5,5,4,4,satisfied
6955,128599,1,0,2.0,0,1,8,3,3,1,3,3,4,3,3,3,4,4,4,4,3,0,0,satisfied
6959,82993,1,0,8.0,0,1,9,2,2,2,2,3,4,5,5,5,5,5,5,5,4,0,0,satisfied
6963,72052,1,0,7.0,0,1,7,2,2,2,2,2,4,4,4,4,4,4,5,4,3,1,0,satisfied
6965,94788,0,0,8.0,0,1,7,2,2,2,2,3,5,5,4,4,4,4,4,4,3,0,0,satisfied
6966,97299,0,0,5.0,0,1,0,1,1,4,1,5,4,5,4,4,4,4,5,4,4,0,0,satisfied
6967,45520,1,0,5.0,0,1,9,3,3,3,3,4,1,3,5,5,5,5,3,5,3,0,0,satisfied
6969,94334,0,0,8.0,0,1,6,1,1,1,1,4,5,5,5,5,5,4,3,5,3,4,4,satisfied
6970,12567,1,0,8.0,0,2,2,4,5,2,5,2,2,2,4,4,4,4,2,4,4,0,0,satisfied
6971,122650,0,0,8.0,0,1,6,5,5,5,5,5,5,4,5,5,5,5,3,5,4,0,2,satisfied
6972,57837,0,0,4.0,0,1,5,5,5,4,5,3,4,4,4,4,4,4,5,4,5,0,1,satisfied
6974,82747,0,1,2.0,0,1,1,0,2,0,4,3,0,3,3,3,5,5,4,4,3,0,0,satisfied
6979,67031,1,0,2.0,0,1,8,5,5,5,5,4,4,4,4,5,2,5,3,5,4,0,0,satisfied
6984,52221,1,0,3.0,0,1,1,4,4,4,4,5,5,5,5,1,5,5,1,2,5,0,0,satisfied
6985,26050,1,0,5.0,0,1,1,1,1,1,1,1,1,5,2,2,2,2,4,2,1,0,0,satisfied
6993,95994,0,0,5.0,0,1,8,5,5,5,5,5,5,4,3,3,4,3,5,3,4,0,0,satisfied
6994,70856,1,0,7.0,0,1,8,5,5,5,5,4,4,5,4,4,4,4,3,4,5,0,0,satisfied
6999,76894,1,0,8.0,0,1,8,3,3,3,3,5,4,4,3,3,4,3,3,3,5,0,0,satisfied
7002,49571,0,0,6.0,0,1,0,4,4,4,4,1,5,4,5,5,5,4,4,5,2,0,0,satisfied
7006,10223,1,0,7.0,0,1,0,4,4,4,4,2,4,5,4,4,4,4,3,4,3,0,0,satisfied
7007,30639,1,0,6.0,0,0,1,4,5,5,5,5,2,5,4,4,4,4,4,4,2,2,3,satisfied
7010,120091,0,0,3.0,0,1,1,5,5,5,5,4,4,4,4,5,3,5,5,5,4,0,1,satisfied
7012,9880,0,1,2.0,0,1,1,0,0,0,2,5,0,4,5,3,4,4,5,4,5,4,3,satisfied
7015,100766,1,0,2.0,0,1,5,4,4,4,4,3,4,3,3,5,4,5,4,5,3,0,0,satisfied
7016,103254,1,0,3.0,0,1,2,1,1,1,1,3,3,3,3,5,5,5,4,4,3,2,2,satisfied
7017,76305,1,0,5.0,0,1,7,5,5,5,5,3,4,4,5,5,5,5,3,5,5,2,0,satisfied
7021,112755,0,0,2.0,0,1,1,2,2,2,2,3,3,3,3,5,3,4,4,5,3,2,0,satisfied
7025,75126,1,0,7.0,0,1,6,5,5,5,5,3,4,4,4,4,5,4,3,4,4,0,3,satisfied
7026,69840,1,0,6.0,0,0,1,4,4,4,4,5,5,4,4,4,4,4,1,4,4,0,0,satisfied
7027,661,1,0,8.0,0,1,8,3,3,3,3,5,5,4,4,4,4,5,3,4,3,0,0,satisfied
7030,76062,1,0,7.0,0,1,8,3,3,3,3,5,4,4,3,3,4,3,5,3,4,0,0,satisfied
7031,19176,1,0,4.0,0,0,3,4,5,5,5,4,4,4,4,5,2,2,1,2,4,0,0,satisfied
7033,87797,1,0,4.0,0,1,0,3,3,3,3,3,5,4,4,4,4,4,5,4,4,0,0,satisfied
7034,67650,0,1,7.0,0,1,4,3,3,3,3,4,3,4,4,3,5,4,5,4,4,4,4,satisfied
7035,13165,1,0,1.0,0,2,1,4,5,5,5,4,4,3,4,2,1,3,2,2,4,0,0,satisfied
7036,27708,0,0,7.0,0,1,2,2,2,2,2,4,5,5,4,4,4,4,3,4,3,0,0,satisfied
7041,58829,0,1,2.0,0,1,3,4,3,4,4,1,4,1,1,4,5,4,5,5,1,0,0,satisfied
7042,109169,1,0,8.0,0,1,1,2,2,2,2,4,5,5,3,3,4,3,5,3,5,0,0,satisfied
7043,58597,0,0,1.0,1,0,0,4,4,4,5,1,4,1,1,5,3,5,3,5,1,1,0,satisfied
7045,98275,0,0,7.0,0,1,7,4,4,4,4,3,4,5,2,2,3,2,5,2,5,0,0,satisfied
7046,75697,0,0,8.0,0,1,2,4,4,4,4,5,5,4,5,5,5,5,3,5,4,0,0,satisfied
7048,74309,1,0,5.0,0,1,4,2,2,4,2,5,5,5,5,5,5,5,5,5,3,0,0,satisfied
7051,55428,1,0,3.0,0,1,7,5,2,5,5,4,5,5,3,3,4,5,5,5,5,0,0,satisfied
7054,126465,1,0,8.0,0,1,6,1,1,1,1,4,4,5,4,4,4,4,5,4,4,0,0,satisfied
7055,66104,0,0,8.0,0,1,7,2,2,2,2,2,5,5,5,5,5,5,5,5,5,0,0,satisfied
7058,70324,0,0,8.0,0,1,2,1,1,1,1,2,5,4,5,5,5,5,3,5,3,0,0,satisfied
7061,1939,0,0,8.0,0,1,7,3,3,3,3,4,4,4,4,4,4,4,5,4,4,1,0,satisfied
7063,2036,1,0,2.0,0,1,8,2,2,2,2,4,4,4,4,4,3,4,3,4,4,4,3,satisfied
7064,13710,1,0,6.0,0,1,6,3,3,3,3,2,5,4,4,4,4,4,4,4,5,0,0,satisfied
7065,36190,1,0,8.0,0,1,8,3,5,3,3,4,4,5,5,5,4,5,3,5,3,0,0,satisfied
7066,97028,1,0,8.0,0,1,7,3,3,3,3,5,5,5,4,4,4,4,4,4,3,0,0,satisfied
7067,21437,1,0,5.0,0,1,0,1,1,1,1,2,2,3,4,4,4,4,2,4,4,4,4,satisfied
7068,42016,1,0,8.0,0,1,7,2,2,2,2,2,2,2,5,5,5,4,3,5,1,1,1,satisfied
7073,66020,1,1,2.0,0,1,3,4,5,4,3,4,4,2,4,3,3,4,5,4,4,4,4,satisfied
7074,117579,1,0,7.0,0,1,6,0,0,0,4,5,5,5,3,3,3,3,3,3,3,1,0,satisfied
7076,54560,1,0,3.0,0,2,2,4,4,4,4,5,5,5,5,2,4,2,4,4,5,1,0,satisfied
7078,67008,0,0,5.0,0,1,6,5,3,5,5,3,5,4,5,5,5,5,5,5,4,0,0,satisfied
7083,76369,0,0,4.0,0,1,8,1,1,1,1,3,5,4,5,5,5,5,5,5,4,0,4,satisfied
7085,44597,1,0,7.0,0,1,7,2,2,2,2,5,4,5,4,4,4,4,4,4,5,3,2,satisfied
7088,86343,0,0,1.0,0,1,2,3,3,3,3,4,4,4,4,5,5,5,5,5,4,2,2,satisfied
7096,27999,1,0,7.0,0,1,0,5,5,5,5,3,4,4,5,5,5,5,3,5,3,0,0,satisfied
7099,81276,1,1,7.0,0,1,3,2,2,2,3,5,2,5,5,4,3,5,4,5,5,0,0,satisfied
7103,126918,1,0,6.0,0,1,7,0,0,0,1,4,5,5,3,3,3,3,5,3,4,0,0,satisfied
7105,66674,0,1,2.0,0,1,2,4,4,4,3,1,4,1,1,3,2,5,3,5,1,0,0,satisfied
7106,6506,1,0,3.0,0,1,9,1,1,1,1,4,3,4,4,3,3,4,4,4,4,3,4,satisfied
7108,53829,1,0,7.0,0,1,5,5,5,5,5,3,1,4,4,4,4,5,5,4,5,4,4,satisfied
7112,83825,0,0,8.0,0,1,1,1,1,1,1,3,4,5,4,4,4,4,5,4,4,0,0,satisfied
7113,111312,0,0,7.0,0,1,6,4,3,4,4,4,5,5,3,3,4,3,3,3,3,0,0,satisfied
7114,90607,0,0,2.0,0,1,1,1,1,1,1,5,5,5,5,4,4,5,5,4,5,3,3,satisfied
7115,121937,1,0,4.0,0,1,7,3,3,3,3,1,5,5,4,4,4,4,2,4,4,0,0,satisfied
7116,89170,1,0,8.0,1,0,7,5,4,5,2,3,4,4,2,2,5,4,4,2,5,1,0,satisfied
7117,28507,0,0,8.0,0,1,8,5,5,5,5,2,2,2,2,3,3,2,2,4,2,0,0,satisfied
7118,46854,1,0,6.0,0,1,6,1,1,5,1,3,1,3,5,5,5,5,2,5,3,4,4,satisfied
7119,115204,0,0,7.0,0,1,6,2,2,2,2,5,4,4,5,5,5,5,5,5,3,1,0,satisfied
7120,12251,1,0,6.0,0,1,9,3,3,5,3,4,4,2,4,4,4,4,1,4,3,0,0,satisfied
7122,48928,0,0,3.0,0,1,0,3,3,3,3,4,4,4,4,4,5,5,4,2,4,0,0,satisfied
7123,54131,0,1,2.0,0,0,4,5,5,5,3,2,5,2,2,2,3,4,2,3,2,3,0,satisfied
7124,2392,1,0,6.0,0,1,7,3,3,3,3,3,5,4,4,4,4,4,3,4,5,3,2,satisfied
7125,18362,0,0,5.0,0,1,5,1,1,1,1,5,3,1,5,5,5,4,2,5,5,0,0,satisfied
7130,41492,1,0,5.0,0,1,5,1,1,1,1,4,2,4,4,4,4,4,5,4,4,0,2,satisfied
7132,88035,0,0,2.0,0,1,8,3,3,5,3,5,4,5,5,5,5,5,3,5,5,1,0,satisfied
7133,99113,1,0,1.0,1,0,1,5,2,1,2,2,1,2,2,2,1,2,2,2,2,0,0,satisfied
7134,77149,0,0,5.0,0,1,6,5,5,5,5,3,3,4,2,2,2,2,3,2,3,0,0,satisfied
7137,7854,1,0,7.0,0,1,3,5,5,5,5,4,4,5,4,4,4,4,5,4,4,0,0,satisfied
7138,93671,1,0,2.0,0,1,9,1,5,1,1,4,4,4,4,4,1,3,4,1,4,0,0,satisfied
7139,38061,1,0,4.0,0,0,4,5,5,5,5,5,5,5,5,1,2,4,1,5,5,4,2,satisfied
7148,30,0,0,7.0,0,1,8,4,4,5,4,3,4,4,4,4,4,4,3,4,3,0,2,satisfied
7150,6727,0,0,5.0,0,1,9,5,5,5,5,2,4,4,5,5,5,5,5,5,4,1,0,satisfied
7151,67064,1,0,4.0,0,1,3,5,5,5,5,4,5,5,4,4,4,4,5,4,3,0,0,satisfied
7152,116610,0,0,5.0,0,1,0,5,5,5,5,5,4,4,5,5,4,5,4,5,3,1,1,satisfied
7153,40547,1,0,6.0,0,1,8,4,4,4,4,3,5,3,5,5,5,5,4,5,5,0,0,satisfied
7157,23351,1,0,8.0,0,2,2,4,1,3,1,3,1,1,4,4,4,4,5,4,4,0,0,satisfied
7158,124709,0,0,3.0,1,0,0,5,5,5,5,1,5,1,1,3,5,1,4,5,1,0,0,satisfied
